invoice_id,full_date,month_name,day_part,branch_code,city,customer_type,gender,product_line_name,payment_name,unit_price,quantity,total,gross_income,rating
665-63-9737,2019-02-27,February,Evening,B,Mandalay,Normal,Male,Fashion accessories,Ewallet,52.42,3,165.1230,7.8630,7.5
318-12-0304,2019-01-23,January,Afternoon,A,Yangon,Normal,Male,Fashion accessories,Ewallet,30.61,1,32.1405,1.5305,5.2
747-58-7183,2019-02-09,February,Evening,B,Mandalay,Normal,Male,Fashion accessories,Ewallet,57.27,3,180.4005,8.5905,6.5
437-53-3084,2019-02-26,February,Morning,B,Mandalay,Normal,Male,Fashion accessories,Ewallet,99.89,2,209.7690,9.9890,7.1
795-49-7276,2019-03-23,March,Evening,A,Yangon,Normal,Male,Fashion accessories,Ewallet,37.15,4,156.0300,7.4300,8.3
192-98-7397,2019-01-08,January,Afternoon,C,Naypyitaw,Normal,Male,Fashion accessories,Ewallet,12.78,1,13.4190,0.6390,9.5
898-04-2717,2019-03-19,March,Afternoon,A,Yangon,Normal,Male,Fashion accessories,Ewallet,76.40,9,721.9800,34.3800,7.5
478-06-7835,2019-01-11,January,Morning,A,Yangon,Normal,Male,Fashion accessories,Ewallet,89.69,1,94.1745,4.4845,4.9
549-03-9315,2019-02-12,February,Afternoon,B,Mandalay,Normal,Male,Fashion accessories,Ewallet,94.87,8,796.9080,37.9480,8.7
410-67-1709,2019-01-20,January,Evening,A,Yangon,Member,Female,Fashion accessories,Ewallet,63.88,8,536.5920,25.5520,9.9
288-38-3758,2019-01-25,January,Evening,C,Naypyitaw,Member,Female,Fashion accessories,Ewallet,84.87,3,267.3405,12.7305,7.4
210-30-7976,2019-03-14,March,Morning,B,Mandalay,Member,Female,Fashion accessories,Ewallet,22.32,4,93.7440,4.4640,4.1
857-16-3520,2019-03-28,March,Afternoon,A,Yangon,Member,Female,Fashion accessories,Ewallet,71.46,7,525.2310,25.0110,4.5
562-12-5430,2019-01-18,January,Morning,A,Yangon,Member,Female,Fashion accessories,Ewallet,88.15,3,277.6725,13.2225,7.9
641-96-3695,2019-02-07,February,Evening,C,Naypyitaw,Member,Female,Fashion accessories,Ewallet,43.46,6,273.7980,13.0380,8.5
559-98-9873,2019-02-10,February,Afternoon,A,Yangon,Member,Female,Fashion accessories,Ewallet,53.65,7,394.3275,18.7775,5.2
413-20-6708,2019-03-18,March,Afternoon,C,Naypyitaw,Member,Female,Fashion accessories,Ewallet,51.47,1,54.0435,2.5735,8.5
573-98-8548,2019-01-05,January,Afternoon,C,Naypyitaw,Member,Female,Fashion accessories,Ewallet,31.90,1,33.4950,1.5950,9.1
587-03-7455,2019-02-16,February,Evening,C,Naypyitaw,Member,Female,Fashion accessories,Ewallet,97.79,7,718.7565,34.2265,4.9
394-41-0748,2019-01-27,January,Afternoon,C,Naypyitaw,Member,Female,Fashion accessories,Ewallet,54.07,9,510.9615,24.3315,9.5
667-23-5919,2019-01-14,January,Afternoon,A,Yangon,Member,Female,Fashion accessories,Ewallet,96.70,5,507.6750,24.1750,7.0
685-64-1609,2019-02-10,February,Afternoon,A,Yangon,Member,Female,Fashion accessories,Ewallet,30.14,10,316.4700,15.0700,9.2
268-27-6179,2019-03-09,March,Afternoon,B,Mandalay,Member,Female,Fashion accessories,Ewallet,56.47,8,474.3480,22.5880,7.3
109-28-2512,2019-01-07,January,Afternoon,B,Mandalay,Member,Female,Fashion accessories,Ewallet,97.61,6,614.9430,29.2830,9.9
616-24-2851,2019-03-22,March,Afternoon,B,Mandalay,Member,Female,Fashion accessories,Ewallet,17.87,4,75.0540,3.5740,6.5
574-22-5561,2019-03-19,March,Evening,C,Naypyitaw,Member,Female,Fashion accessories,Ewallet,82.63,10,867.6150,41.3150,7.9
351-62-0822,2019-02-06,February,Evening,B,Mandalay,Member,Female,Fashion accessories,Ewallet,14.48,4,60.8160,2.8960,4.5
374-38-5555,2019-02-07,February,Evening,B,Mandalay,Normal,Female,Fashion accessories,Ewallet,63.71,5,334.4775,15.9275,8.5
137-74-8729,2019-03-13,March,Afternoon,C,Naypyitaw,Normal,Female,Fashion accessories,Ewallet,12.19,8,102.3960,4.8760,6.8
409-33-9708,2019-02-19,February,Morning,A,Yangon,Normal,Female,Fashion accessories,Ewallet,98.48,2,206.8080,9.8480,9.2
189-55-2313,2019-01-31,January,Morning,C,Naypyitaw,Normal,Female,Fashion accessories,Ewallet,62.18,10,652.8900,31.0900,6.0
626-43-7888,2019-02-07,February,Afternoon,C,Naypyitaw,Normal,Female,Fashion accessories,Ewallet,60.41,8,507.4440,24.1640,9.6
370-96-0655,2019-01-09,January,Afternoon,C,Naypyitaw,Normal,Female,Fashion accessories,Ewallet,49.32,6,310.7160,14.7960,7.1
518-17-2983,2019-02-04,February,Afternoon,A,Yangon,Normal,Female,Fashion accessories,Ewallet,48.63,4,204.2460,9.7260,7.6
647-50-1224,2019-01-12,January,Afternoon,A,Yangon,Normal,Female,Fashion accessories,Ewallet,29.42,10,308.9100,14.7100,8.9
595-27-4851,2019-01-27,January,Evening,A,Yangon,Normal,Female,Fashion accessories,Ewallet,54.28,7,398.9580,18.9980,9.3
686-41-0932,2019-03-13,March,Evening,B,Mandalay,Normal,Female,Fashion accessories,Ewallet,34.70,2,72.8700,3.4700,8.2
372-26-1506,2019-01-28,January,Evening,C,Naypyitaw,Normal,Female,Fashion accessories,Ewallet,23.82,5,125.0550,5.9550,5.4
831-64-0259,2019-02-22,February,Morning,B,Mandalay,Normal,Female,Fashion accessories,Ewallet,39.75,5,208.6875,9.9375,9.6
135-84-8019,2019-02-27,February,Afternoon,A,Yangon,Normal,Female,Fashion accessories,Ewallet,77.93,9,736.4385,35.0685,7.6
376-56-3573,2019-02-02,February,Afternoon,C,Naypyitaw,Normal,Female,Fashion accessories,Ewallet,95.42,4,400.7640,19.0840,6.4
821-07-3596,2019-03-07,March,Afternoon,C,Naypyitaw,Normal,Female,Fashion accessories,Ewallet,16.45,4,69.0900,3.2900,5.6
573-58-9734,2019-03-28,March,Afternoon,B,Mandalay,Normal,Female,Fashion accessories,Ewallet,30.37,3,95.6655,4.5555,5.1
437-58-8131,2019-01-15,January,Afternoon,B,Mandalay,Normal,Female,Fashion accessories,Ewallet,73.52,2,154.3920,7.3520,4.6
518-71-6847,2019-02-26,February,Afternoon,B,Mandalay,Member,Male,Food and beverages,Ewallet,26.60,6,167.5800,7.9800,4.9
146-09-5432,2019-02-09,February,Evening,A,Yangon,Member,Male,Food and beverages,Ewallet,35.04,9,331.1280,15.7680,4.6
325-89-4209,2019-02-05,February,Evening,A,Yangon,Member,Male,Food and beverages,Ewallet,87.90,1,92.2950,4.3950,6.7
250-17-5703,2019-02-27,February,Evening,A,Yangon,Member,Male,Food and beverages,Ewallet,18.85,10,197.9250,9.4250,5.6
238-45-6950,2019-03-01,March,Evening,B,Mandalay,Member,Male,Food and beverages,Ewallet,53.72,1,56.4060,2.6860,6.4
434-35-9162,2019-02-04,February,Evening,B,Mandalay,Member,Male,Food and beverages,Ewallet,23.34,4,98.0280,4.6680,7.4
266-20-6657,2019-03-12,March,Evening,C,Naypyitaw,Member,Male,Food and beverages,Ewallet,55.04,7,404.5440,19.2640,5.2
130-67-4723,2019-01-11,January,Afternoon,A,Yangon,Member,Male,Food and beverages,Ewallet,48.50,6,305.5500,14.5500,9.4
779-42-2410,2019-02-20,February,Afternoon,B,Mandalay,Member,Male,Food and beverages,Ewallet,57.74,3,181.8810,8.6610,7.7
443-59-0061,2019-02-03,February,Morning,A,Yangon,Member,Male,Food and beverages,Ewallet,67.45,10,708.2250,33.7250,4.2
349-97-8902,2019-01-17,January,Morning,B,Mandalay,Member,Male,Food and beverages,Ewallet,57.89,2,121.5690,5.7890,8.9
239-48-4278,2019-03-10,March,Evening,A,Yangon,Member,Male,Food and beverages,Ewallet,10.13,7,74.4555,3.5455,8.3
712-39-0363,2019-01-02,January,Afternoon,A,Yangon,Member,Male,Food and beverages,Ewallet,41.66,6,262.4580,12.4980,5.6
549-96-4200,2019-03-08,March,Evening,C,Naypyitaw,Member,Male,Food and beverages,Ewallet,17.04,4,71.5680,3.4080,7.0
845-51-0542,2019-02-02,February,Afternoon,B,Mandalay,Member,Male,Food and beverages,Ewallet,46.55,9,439.8975,20.9475,6.4
895-66-0685,2019-03-05,March,Evening,B,Mandalay,Member,Male,Food and beverages,Ewallet,18.08,3,56.9520,2.7120,8.0
720-72-2436,2019-03-02,March,Evening,A,Yangon,Normal,Male,Food and beverages,Ewallet,66.52,4,279.3840,13.3040,6.9
832-51-6761,2019-01-19,January,Evening,A,Yangon,Normal,Male,Food and beverages,Ewallet,33.88,8,284.5920,13.5520,9.6
451-73-2711,2019-01-14,January,Afternoon,C,Naypyitaw,Normal,Male,Food and beverages,Ewallet,84.83,1,89.0715,4.2415,8.8
373-09-4567,2019-03-14,March,Evening,C,Naypyitaw,Normal,Male,Food and beverages,Ewallet,77.56,10,814.3800,38.7800,6.9
592-34-6155,2019-01-14,January,Afternoon,C,Naypyitaw,Normal,Male,Food and beverages,Ewallet,31.77,4,133.4340,6.3540,6.2
746-19-0921,2019-02-09,February,Morning,C,Naypyitaw,Normal,Male,Food and beverages,Ewallet,21.58,1,22.6590,1.0790,7.2
574-57-9721,2019-03-08,March,Afternoon,C,Naypyitaw,Normal,Male,Food and beverages,Ewallet,43.27,2,90.8670,4.3270,5.7
471-41-2823,2019-03-07,March,Evening,C,Naypyitaw,Normal,Male,Food and beverages,Ewallet,99.79,2,209.5590,9.9790,8.0
468-01-2051,2019-03-06,March,Afternoon,B,Mandalay,Normal,Male,Food and beverages,Ewallet,62.08,7,456.2880,21.7280,5.4
407-63-8975,2019-03-23,March,Evening,A,Yangon,Normal,Male,Food and beverages,Ewallet,73.88,6,465.4440,22.1640,4.4
414-12-7047,2019-01-18,January,Afternoon,B,Mandalay,Normal,Male,Food and beverages,Ewallet,19.79,8,166.2360,7.9160,8.7
865-92-6136,2019-03-23,March,Morning,A,Yangon,Normal,Male,Food and beverages,Ewallet,52.75,3,166.1625,7.9125,9.3
480-63-2856,2019-01-23,January,Evening,C,Naypyitaw,Normal,Male,Food and beverages,Ewallet,19.25,8,161.7000,7.7000,6.6
252-56-2699,2019-02-07,February,Afternoon,A,Yangon,Normal,Male,Food and beverages,Ewallet,43.19,10,453.4950,21.5950,8.2
574-80-1489,2019-02-25,February,Afternoon,B,Mandalay,Member,Female,Food and beverages,Ewallet,62.85,4,263.9700,12.5700,8.7
186-71-5196,2019-03-27,March,Afternoon,A,Yangon,Member,Female,Food and beverages,Ewallet,79.54,2,167.0340,7.9540,6.2
490-95-0021,2019-01-08,January,Afternoon,B,Mandalay,Member,Female,Food and beverages,Ewallet,33.21,10,348.7050,16.6050,6.0
695-09-5146,2019-02-23,February,Evening,B,Mandalay,Member,Female,Food and beverages,Ewallet,98.79,3,311.1885,14.8185,6.4
283-26-5248,2019-01-30,January,Evening,C,Naypyitaw,Member,Female,Food and beverages,Ewallet,98.52,10,1034.4600,49.2600,4.5
358-88-9262,2019-02-01,February,Evening,C,Naypyitaw,Member,Female,Food and beverages,Ewallet,87.48,6,551.1240,26.2440,5.1
266-76-6436,2019-03-28,March,Afternoon,C,Naypyitaw,Member,Female,Food and beverages,Ewallet,38.60,3,121.5900,5.7900,7.5
153-58-4872,2019-03-01,March,Afternoon,C,Naypyitaw,Member,Female,Food and beverages,Ewallet,74.89,4,314.5380,14.9780,4.2
663-86-9076,2019-01-08,January,Afternoon,C,Naypyitaw,Member,Female,Food and beverages,Ewallet,68.54,8,575.7360,27.4160,8.5
829-49-1914,2019-03-05,March,Afternoon,C,Naypyitaw,Member,Female,Food and beverages,Ewallet,78.31,10,822.2550,39.1550,6.6
510-95-6347,2019-03-05,March,Evening,B,Mandalay,Member,Female,Food and beverages,Ewallet,48.52,3,152.8380,7.2780,4.0
727-46-3608,2019-02-06,February,Afternoon,B,Mandalay,Member,Female,Food and beverages,Ewallet,20.01,9,189.0945,9.0045,4.1
183-56-6882,2019-02-06,February,Morning,C,Naypyitaw,Member,Female,Food and beverages,Ewallet,99.42,4,417.5640,19.8840,7.5
365-16-4334,2019-02-24,February,Afternoon,B,Mandalay,Normal,Female,Food and beverages,Ewallet,26.43,8,222.0120,10.5720,8.9
500-02-2261,2019-03-21,March,Evening,C,Naypyitaw,Normal,Female,Food and beverages,Ewallet,57.29,6,360.9270,17.1870,5.9
243-55-8457,2019-02-27,February,Morning,A,Yangon,Normal,Female,Food and beverages,Ewallet,74.44,10,781.6200,37.2200,5.1
499-27-7781,2019-03-14,March,Afternoon,B,Mandalay,Normal,Female,Food and beverages,Ewallet,53.21,8,446.9640,21.2840,5.0
156-95-3964,2019-03-25,March,Afternoon,A,Yangon,Normal,Female,Food and beverages,Ewallet,55.39,4,232.6380,11.0780,8.0
236-27-1144,2019-03-26,March,Morning,C,Naypyitaw,Normal,Female,Food and beverages,Ewallet,16.31,9,154.1295,7.3395,8.4
727-17-0390,2019-03-16,March,Afternoon,A,Yangon,Normal,Female,Food and beverages,Ewallet,63.61,5,333.9525,15.9025,4.8
316-01-3952,2019-03-13,March,Afternoon,A,Yangon,Normal,Female,Food and beverages,Ewallet,54.27,5,284.9175,13.5675,4.6
662-72-2873,2019-01-06,January,Afternoon,A,Yangon,Normal,Female,Food and beverages,Ewallet,40.94,5,214.9350,10.2350,9.9
416-13-5917,2019-01-30,January,Afternoon,C,Naypyitaw,Normal,Female,Food and beverages,Ewallet,97.03,5,509.4075,24.2575,9.3
214-17-6927,2019-02-07,February,Evening,C,Naypyitaw,Normal,Female,Food and beverages,Ewallet,16.48,6,103.8240,4.9440,9.9
642-32-2990,2019-02-02,February,Evening,A,Yangon,Normal,Female,Food and beverages,Ewallet,10.96,10,115.0800,5.4800,6.0
847-38-7188,2019-01-26,January,Evening,B,Mandalay,Normal,Female,Food and beverages,Ewallet,96.68,3,304.5420,14.5020,6.4
880-46-5796,2019-03-17,March,Evening,A,Yangon,Member,Male,Sports and travel,Ewallet,76.92,10,807.6600,38.4600,5.6
840-76-5966,2019-01-08,January,Evening,A,Yangon,Member,Male,Sports and travel,Ewallet,12.76,2,26.7960,1.2760,7.8
149-15-7606,2019-03-06,March,Afternoon,B,Mandalay,Member,Male,Sports and travel,Ewallet,37.32,9,352.6740,16.7940,5.1
257-73-1380,2019-01-20,January,Afternoon,C,Naypyitaw,Member,Male,Sports and travel,Ewallet,82.93,4,348.3060,16.5860,9.6
835-16-0096,2019-03-24,March,Afternoon,C,Naypyitaw,Member,Male,Sports and travel,Ewallet,14.70,5,77.1750,3.6750,8.5
851-28-6367,2019-03-23,March,Morning,A,Yangon,Member,Male,Sports and travel,Ewallet,15.50,10,162.7500,7.7500,8.0
129-29-8530,2019-03-10,March,Evening,A,Yangon,Member,Male,Sports and travel,Ewallet,62.62,5,328.7550,15.6550,7.0
549-59-1358,2019-03-02,March,Evening,A,Yangon,Member,Male,Sports and travel,Ewallet,88.63,3,279.1845,13.2945,6.0
825-94-5922,2019-03-02,March,Evening,B,Mandalay,Normal,Male,Sports and travel,Ewallet,25.31,2,53.1510,2.5310,7.2
852-82-2749,2019-01-06,January,Afternoon,A,Yangon,Normal,Male,Sports and travel,Ewallet,64.59,4,271.2780,12.9180,9.3
751-15-6198,2019-01-12,January,Afternoon,B,Mandalay,Normal,Male,Sports and travel,Ewallet,23.01,6,144.9630,6.9030,7.9
497-37-6538,2019-01-17,January,Afternoon,A,Yangon,Normal,Male,Sports and travel,Ewallet,58.91,7,432.9885,20.6185,9.7
445-30-9252,2019-01-17,January,Evening,A,Yangon,Normal,Male,Sports and travel,Ewallet,25.70,3,80.9550,3.8550,6.1
816-57-2053,2019-03-09,March,Afternoon,A,Yangon,Normal,Male,Sports and travel,Ewallet,60.87,2,127.8270,6.0870,8.7
375-72-3056,2019-01-19,January,Afternoon,B,Mandalay,Normal,Male,Sports and travel,Ewallet,63.06,3,198.6390,9.4590,7.0
674-15-9296,2019-01-08,January,Afternoon,A,Yangon,Normal,Male,Sports and travel,Ewallet,37.14,5,194.9850,9.2850,5.0
701-69-8742,2019-03-16,March,Morning,B,Mandalay,Normal,Male,Sports and travel,Ewallet,34.37,10,360.8850,17.1850,6.7
751-69-0068,2019-03-19,March,Evening,C,Naypyitaw,Normal,Male,Sports and travel,Ewallet,99.24,9,937.8180,44.6580,9.0
696-90-2548,2019-03-10,March,Evening,A,Yangon,Normal,Male,Sports and travel,Ewallet,25.84,3,81.3960,3.8760,6.6
569-71-4390,2019-01-25,January,Afternoon,B,Mandalay,Normal,Male,Sports and travel,Ewallet,21.87,2,45.9270,2.1870,6.9
743-88-1662,2019-02-22,February,Evening,C,Naypyitaw,Normal,Male,Sports and travel,Ewallet,95.49,7,701.8515,33.4215,8.7
276-54-0879,2019-03-12,March,Evening,B,Mandalay,Normal,Male,Sports and travel,Ewallet,97.74,4,410.5080,19.5480,6.4
154-74-7179,2019-02-26,February,Evening,B,Mandalay,Normal,Male,Sports and travel,Ewallet,54.45,1,57.1725,2.7225,7.9
423-80-0988,2019-01-30,January,Evening,C,Naypyitaw,Normal,Male,Sports and travel,Ewallet,76.40,2,160.4400,7.6400,6.5
423-57-2993,2019-03-27,March,Evening,B,Mandalay,Normal,Male,Sports and travel,Ewallet,93.39,6,588.3570,28.0170,10.0
575-30-8091,2019-03-16,March,Evening,A,Yangon,Normal,Male,Sports and travel,Ewallet,72.50,8,609.0000,29.0000,9.2
373-73-7910,2019-02-08,February,Morning,A,Yangon,Normal,Male,Sports and travel,Ewallet,86.31,7,634.3785,30.2085,5.3
139-32-4183,2019-03-14,March,Afternoon,A,Yangon,Member,Female,Sports and travel,Ewallet,97.48,9,921.1860,43.8660,7.4
457-12-0244,2019-03-14,March,Afternoon,C,Naypyitaw,Member,Female,Sports and travel,Ewallet,35.22,6,221.8860,10.5660,6.5
271-77-8740,2019-01-01,January,Morning,C,Naypyitaw,Member,Female,Sports and travel,Ewallet,29.22,6,184.0860,8.7660,5.0
201-63-8275,2019-02-17,February,Afternoon,C,Naypyitaw,Member,Female,Sports and travel,Ewallet,67.99,7,499.7265,23.7965,5.7
707-32-7409,2019-02-26,February,Morning,B,Mandalay,Member,Female,Sports and travel,Ewallet,95.54,4,401.2680,19.1080,4.5
373-14-0504,2019-02-12,February,Afternoon,A,Yangon,Member,Female,Sports and travel,Ewallet,71.63,2,150.4230,7.1630,8.8
182-52-7000,2019-01-01,January,Evening,A,Yangon,Member,Female,Sports and travel,Ewallet,27.04,4,113.5680,5.4080,6.9
510-79-0415,2019-01-24,January,Evening,B,Mandalay,Member,Female,Sports and travel,Ewallet,23.08,6,145.4040,6.9240,4.9
509-29-3912,2019-03-20,March,Afternoon,A,Yangon,Member,Female,Sports and travel,Ewallet,38.72,9,365.9040,17.4240,4.2
880-35-0356,2019-02-05,February,Morning,A,Yangon,Member,Female,Sports and travel,Ewallet,75.20,3,236.8800,11.2800,4.8
719-89-8991,2019-02-25,February,Afternoon,A,Yangon,Member,Female,Sports and travel,Ewallet,91.41,5,479.9025,22.8525,7.1
438-01-4015,2019-03-21,March,Afternoon,B,Mandalay,Member,Female,Sports and travel,Ewallet,49.49,4,207.8580,9.8980,6.6
479-26-8945,2019-02-05,February,Morning,B,Mandalay,Member,Female,Sports and travel,Ewallet,16.49,2,34.6290,1.6490,4.6
873-51-0671,2019-01-10,January,Afternoon,A,Yangon,Member,Female,Sports and travel,Ewallet,21.98,7,161.5530,7.6930,5.1
347-34-2234,2019-02-03,February,Afternoon,B,Mandalay,Member,Female,Sports and travel,Ewallet,55.07,9,520.4115,24.7815,10.0
232-16-2483,2019-01-07,January,Afternoon,C,Naypyitaw,Member,Female,Sports and travel,Ewallet,68.12,1,71.5260,3.4060,6.8
602-16-6955,2019-01-24,January,Evening,B,Mandalay,Normal,Female,Sports and travel,Ewallet,76.60,10,804.3000,38.3000,6.0
534-53-3526,2019-02-11,February,Afternoon,A,Yangon,Normal,Female,Sports and travel,Ewallet,94.76,4,397.9920,18.9520,7.8
642-30-6693,2019-03-17,March,Afternoon,B,Mandalay,Normal,Female,Sports and travel,Ewallet,54.51,6,343.4130,16.3530,7.8
123-35-4896,2019-02-17,February,Evening,C,Naypyitaw,Normal,Female,Sports and travel,Ewallet,46.66,9,440.9370,20.9970,5.3
695-28-6250,2019-02-04,February,Afternoon,A,Yangon,Normal,Female,Sports and travel,Ewallet,43.06,5,226.0650,10.7650,7.7
408-26-9866,2019-03-02,March,Afternoon,C,Naypyitaw,Normal,Female,Sports and travel,Ewallet,73.98,7,543.7530,25.8930,4.1
783-09-1637,2019-03-06,March,Evening,B,Mandalay,Normal,Female,Sports and travel,Ewallet,67.43,5,354.0075,16.8575,6.3
645-78-8093,2019-01-20,January,Evening,A,Yangon,Normal,Female,Sports and travel,Ewallet,93.14,2,195.5940,9.3140,4.1
549-84-7482,2019-02-08,February,Morning,B,Mandalay,Normal,Female,Sports and travel,Ewallet,90.28,9,853.1460,40.6260,7.2
225-32-0908,2019-01-26,January,Evening,C,Naypyitaw,Normal,Female,Sports and travel,Ewallet,44.86,10,471.0300,22.4300,8.2
730-50-9884,2019-03-05,March,Afternoon,C,Naypyitaw,Normal,Female,Sports and travel,Ewallet,83.06,7,610.4910,29.0710,4.0
448-34-8700,2019-02-10,February,Afternoon,B,Mandalay,Member,Male,Home and lifestyle,Ewallet,36.91,7,271.2885,12.9185,6.7
373-88-1424,2019-02-06,February,Evening,C,Naypyitaw,Member,Male,Home and lifestyle,Ewallet,35.81,5,188.0025,8.9525,7.9
235-06-8510,2019-01-24,January,Evening,C,Naypyitaw,Member,Male,Home and lifestyle,Ewallet,85.72,3,270.0180,12.8580,5.1
401-09-4232,2019-02-11,February,Evening,C,Naypyitaw,Member,Male,Home and lifestyle,Ewallet,86.69,5,455.1225,21.6725,9.4
546-80-2899,2019-02-20,February,Afternoon,A,Yangon,Member,Male,Home and lifestyle,Ewallet,37.69,2,79.1490,3.7690,9.5
706-36-6154,2019-01-18,January,Evening,A,Yangon,Member,Male,Home and lifestyle,Ewallet,19.36,9,182.9520,8.7120,8.7
856-66-2701,2019-01-25,January,Afternoon,A,Yangon,Member,Male,Home and lifestyle,Ewallet,53.30,3,167.8950,7.9950,7.5
701-23-5550,2019-03-19,March,Afternoon,B,Mandalay,Member,Male,Home and lifestyle,Ewallet,38.81,4,163.0020,7.7620,4.9
236-86-3015,2019-02-04,February,Afternoon,C,Naypyitaw,Member,Male,Home and lifestyle,Ewallet,13.98,1,14.6790,0.6990,9.8
744-02-5987,2019-01-10,January,Afternoon,A,Yangon,Member,Male,Home and lifestyle,Ewallet,78.38,6,493.7940,23.5140,5.8
729-09-9681,2019-02-05,February,Morning,A,Yangon,Member,Male,Home and lifestyle,Ewallet,25.91,6,163.2330,7.7730,8.7
827-26-2100,2019-03-21,March,Afternoon,A,Yangon,Member,Male,Home and lifestyle,Ewallet,33.84,9,319.7880,15.2280,8.8
645-44-1170,2019-01-19,January,Evening,A,Yangon,Member,Male,Home and lifestyle,Ewallet,58.07,9,548.7615,26.1315,4.3
641-62-7288,2019-03-24,March,Afternoon,B,Mandalay,Normal,Male,Home and lifestyle,Ewallet,99.92,6,629.4960,29.9760,7.1
777-67-2495,2019-02-22,February,Morning,B,Mandalay,Normal,Male,Home and lifestyle,Ewallet,68.97,3,217.2555,10.3455,8.7
509-10-0516,2019-02-09,February,Afternoon,B,Mandalay,Normal,Male,Home and lifestyle,Ewallet,45.97,4,193.0740,9.1940,5.1
154-87-7367,2019-03-15,March,Afternoon,C,Naypyitaw,Normal,Male,Home and lifestyle,Ewallet,65.26,8,548.1840,26.1040,6.3
775-72-1988,2019-01-24,January,Afternoon,B,Mandalay,Normal,Male,Home and lifestyle,Ewallet,73.28,5,384.7200,18.3200,8.4
751-41-9720,2019-01-12,January,Afternoon,C,Naypyitaw,Normal,Male,Home and lifestyle,Ewallet,97.50,10,1023.7500,48.7500,8.0
826-58-8051,2019-01-06,January,Evening,B,Mandalay,Normal,Male,Home and lifestyle,Ewallet,62.19,4,261.1980,12.4380,4.3
420-04-7590,2019-03-18,March,Morning,B,Mandalay,Normal,Male,Home and lifestyle,Ewallet,99.70,3,314.0550,14.9550,4.7
460-35-4390,2019-01-22,January,Morning,A,Yangon,Normal,Male,Home and lifestyle,Ewallet,30.68,3,96.6420,4.6020,9.1
643-38-7867,2019-03-07,March,Morning,A,Yangon,Normal,Male,Home and lifestyle,Ewallet,97.94,1,102.8370,4.8970,6.9
583-41-4548,2019-02-07,February,Morning,C,Naypyitaw,Normal,Male,Home and lifestyle,Ewallet,16.67,7,122.5245,5.8345,7.4
220-28-1851,2019-03-01,March,Evening,A,Yangon,Normal,Male,Home and lifestyle,Ewallet,34.73,2,72.9330,3.4730,9.7
